unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.7166672e+09,3754.908571428571,ETH
1.7166636e+09,3760.027499999997,ETH
1.71666e+09,3750.2674999999977,ETH
1.7166564e+09,3743.955833333332,ETH
1.7166528e+09,3750.9416666666666,ETH
1.7166492e+09,3751.1266666666706,ETH
1.7166456e+09,3741.3500000000013,ETH
1.716642e+09,3740.432500000002,ETH
1.7166384e+09,3737.1066666666666,ETH
1.7166348e+09,3763.7999999999984,ETH
1.7166312e+09,3758.2233333333324,ETH
1.7166276e+09,3748.6875,ETH
1.716624e+09,3748.87416666667,ETH
1.7166204e+09,3752.219166666665,ETH
1.7166168e+09,3755.0258333333327,ETH
1.7166132e+09,3763.097500000002,ETH
1.7166096e+09,3758.9958333333298,ETH
1.716606e+09,3737.9000000000005,ETH
1.7166024e+09,3726.664166666665,ETH
1.7165988e+09,3721.5350000000008,ETH
1.7165952e+09,3723.440833333333,ETH
1.7165916e+09,3733.5916666666694,ETH
1.716588e+09,3738.1641666666674,ETH
1.7165844e+09,3737.5708333333305,ETH
1.7165808e+09,3743.781666666667,ETH
1.7165772e+09,3736.075000000002,ETH
1.7165736e+09,3735.365000000005,ETH
1.71657e+09,3692.854166666662,ETH
1.7165664e+09,3677.9325000000035,ETH
1.7165628e+09,3716.5341666666695,ETH
1.7165592e+09,3703.9825000000037,ETH
1.7165556e+09,3711.044166666667,ETH
1.716552e+09,3710.4916666666672,ETH
1.7165484e+09,3703.950833333335,ETH
1.7165448e+09,3695.0466666666666,ETH
1.7165412e+09,3667.68166666667,ETH
1.7165376e+09,3667.1391666666646,ETH
1.716534e+09,3676.3633333333337,ETH
1.7165304e+09,3710.3599999999997,ETH
1.7165268e+09,3783.9916666666636,ETH
1.7165232e+09,3805.7608333333337,ETH
1.7165196e+09,3809.5116666666668,ETH
1.716516e+09,3808.7183333333323,ETH
1.7165124e+09,3810.850000000001,ETH
1.7165088e+09,3784.9575000000013,ETH
1.7165052e+09,3777.597499999998,ETH
1.7165016e+09,3818.634166666665,ETH
1.716498e+09,3813.0175000000004,ETH
1.7164944e+09,3721.4500000000016,ETH
1.7164908e+09,3785.2375000000006,ETH
1.7164872e+09,3747.2499999999973,ETH
1.7164836e+09,3807.9891666666654,ETH
1.71648e+09,3802.421666666664,ETH
1.7164764e+09,3803.413333333333,ETH
1.7164728e+09,3793.6833333333366,ETH
1.7164692e+09,3833.3416666666667,ETH
1.7164656e+09,3927.9916666666672,ETH
1.716462e+09,3863.4050000000016,ETH
1.7164584e+09,3826.409166666665,ETH
1.7164548e+09,3820.6600000000003,ETH
1.7164512e+09,3805.172500000001,ETH
1.7164476e+09,3797.7349999999965,ETH
1.716444e+09,3769.618333333332,ETH
1.7164404e+09,3777.3600000000015,ETH
1.7164368e+09,3779.995833333333,ETH
1.7164332e+09,3767.3191666666658,ETH
1.7164296e+09,3767.908333333332,ETH
1.716426e+09,3756.34333333333,ETH
1.7164224e+09,3753.9400000000005,ETH
1.7164188e+09,3744.2758333333327,ETH
1.7164152e+09,3757.670833333335,ETH
1.7164116e+09,3750.1516666666676,ETH
